"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","80.3641815185547","82.1058807373047","89.9","85.6220932006836","82.8","86.5677791512155","95","92.6737670898438","98.7","92.5","99.5","99.5","100","","",
"Afghanistan","AFG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","10.435","10.798","11.204","11.624","12.058","12.504","12.965","13.441","13.932","14.436","14.957","15.632","16.455","17.31","18.202","19.128","20.092","21.088","22.122","23.192","24.298","25.437","26.612","27.821","29.065","30.338","31.643","32.978","34.343","35.731","37.144","38.58","40.039","41.511","43","44.169","45.346","46.525","47.71","48.897","50.087","51.274","52.461","53.645","54.827","56","56.764","57.524","58.282","59.034","59.783","60.528","61.268","62.002","62.731","63.446","64.149","64.839","65.514","66.177","",
"Angola","AGO","Urban population","SP.URB.TOTL","569222","597288","628381","660180","691532","721552","749534","776116","804107","837758","881022","944294","1028199","1124624","1230706","1343551","1462599","1588714","1723460","1868827","2026766","2197870","2382559","2581259","2794528","3022271","3265593","3525101","3801100","4092906","4400964","4725626","5067883","5427584","5806611","6159458","6530150","6918998","7328066","7758423","8212001","8688765","9190861","9721267","10284528","10882817","11437890","12025601","12644649","13291081","13963065","14660282","15383127","16130304","16900847","17691524","18502165","19332881","20184707","21061025","",
"Angola","AGO","Urban population growth (annual %)","SP.URB.GROW","","4.81288929229601","5.07472612759711","4.93658547042905","4.63969011353609","4.24950214436934","3.8047232400543","3.48503134581276","3.54303513535128","4.09969310589528","5.03533212874821","6.93549610883366","8.51264487116161","8.96400295041015","9.01392308890376","8.77281204452215","8.48988812368203","8.2709893800887","8.14090141768494","8.09770632030931","8.11304579453797","8.104729028858","8.06864105877272","8.01021442608737","7.93859549550004","7.83453161824345","7.7432833972695","7.64677188219609","7.53814101911005","7.39647326798353","7.25683766294355","7.11764311061975","6.99231372198185","6.85709232269624","6.75029966389433","5.89916906330374","5.84411272666776","5.7841047529485","5.74406724239691","5.70674580118366","5.68175290363695","5.643419087168","5.61788089698655","5.610633900055","5.63246702042183","5.65444933801464","4.97464050248048","5.01062655719254","5.01963277766655","4.98590870406346","4.93224203391033","4.87263031805783","4.81293271165339","4.74284794223048","4.66640001876355","4.57219158120625","4.48020974357746","4.39195727887042","4.31179134171658","4.24989375167502","",
"Angola","AGO","Mortality caused by road traffic injury (per 100,000 people)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9","","","23.6","","","","",
"Angola","AGO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.3","","0.19","","0.39","","0.5","","0.53","","0.65","","0.63","","0.76","","0.97","","","","",
"Angola","AGO","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","0.15","","0.13","","0.29","","0.36","","0.39","","0.43","","0.42","","0.51","","0.82","","","","",
"Angola","AGO","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","4.02254253168646","4.21468281860597","4.48196936849329","4.7722687622657","5.09628173733279","5.4606044116959","5.87696632575788","6.34439873763539","6.84453948366949","7.33907218260652","7.79620617737611","8.08819792553176","8.22670596323756","8.32329017777847","8.41397761995332","8.52084282460137","8.65019879774859","8.79261083645761","8.94504182996485","9.09827381678509","9.24735973061238","9.3910661556128","9.53489073433896","9.68004642331789","10.0270064111885","10.3860802206626","10.7608048014212","11.1509694319059","11.5601122148888","11.9876798998357","12.4392301196129","12.9147668023441","13.4157059217534","13.9380510160994","14.3702929268447","14.8173214508269","15.2799731735617","15.7538645886077","16.2419648791658","16.7417907086773","17.2536650818186","17.773851654748","18.3061628135228","18.8450788150349","19.387151554698","19.9245101345597","20.4617432115423","21.0006351001894","21.5491420992814","22.1096245534112","22.6939979995073","23.3025101998661","23.938113419222","24.5980747069663","25.2001064963082","25.1868815018702","25.1900945840864","25.2051129117099","25.2329115687424","25.2778018239894","",
"Angola","AGO","Population in urban agglomerations of more than 1 million","EN.URB.MCTY","219427","233134","251373","271039","292274","315108","339760","366341","395043","425905","459225","488590","514050","540761","568901","598504","629692","662412","696882","733145","771349","811430","853654","898124","964072","1034661","1110527","1191955","1279479","1373162","1473848","1581917","1698075","1822407","1940528","2066306","2200426","2342847","2494701","2656398","2828820","3011913","3207133","3415007","3636670","3872050","4123021","4390259","4675223","4977823","5300466","5644022","6010365","6399381","6789357","7023206","7265449","7515345","7774200","8044735","",
"Angola","AGO","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","38.5485803429945","39.0320917212467","40.0032782658928","41.0553182465388","42.2647108159854","43.670865024281","45.3294980614622","47.2018358080493","49.1281632917012","50.8386670136245","52.1241240286849","51.7413009084035","49.9951857568428","48.0837150905547","46.2255810892285","44.5464295735703","43.0529488943996","41.6948550840491","40.435055063651","39.2302230222487","38.0581182040749","36.9189260511313","35.8292911109442","34.7940288053233","34.498562905793","34.2345540820132","34.0069016561464","33.8133574045112","33.6607560969193","33.5498054438582","33.4892082734601","33.4752898346166","33.5065943708645","33.5767626995731","33.419287085014","33.5468802612178","33.6964081988928","33.8610735253862","34.0431022318849","34.2388910736112","34.4473898627143","34.6644546146662","34.8948047413621","35.1292377835111","35.3605921438495","35.5794827754615","36.0470418932163","36.5076057321376","36.9739247012709","37.4523562078961","37.9606196776997","38.4987273778226","39.0711524386427","39.6730340606104","40.1716967202886","39.6981401941404","39.2681018680787","38.8733836410621","38.515297744971","38.1972624789154","",
"Angola","AGO","Population in largest city","EN.URB.LCTY","219427","233134","251373","271039","292274","315108","339760","366341","395043","425905","459225","488590","514050","540761","568901","598504","629692","662412","696882","733145","771349","811430","853654","898124","964072","1034661","1110527","1191955","1279479","1373162","1473848","1581917","1698075","1822407","1940528","2066306","2200426","2342847","2494701","2656398","2828820","3011913","3207133","3415007","3636670","3872050","4123021","4390259","4675223","4977823","5300466","5644022","6010365","6399381","6789357","7023206","7265449","7515345","7774200","8044735","",
"Angola","AGO","Population living in slums (% of urban population)","EN.POP.SLUM.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.5","","","","","86.5","","","","","65.8000030517578","","","","55.5","","48.7999992370605","","48.5999984741211","","",
